id,original_language,title,popularity,release_date,vote_average,vote_count,weighted_rating
278,EN,The Shawshank Redemption,197.019,1994-09-23,8.706,26755,232929.03
238,EN,The Godfather,154.211,1972-03-14,8.69,20302,176424.37999999998
240,EN,The Godfather Part II,109.117,1974-12-20,8.574,12243,104971.482
424,EN,Schindler's List,90.053,1993-12-15,8.565,15658,134110.77
389,EN,12 Angry Men,72.296,1957-04-10,8.545,8485,72504.325
129,JA,Spirited Away,169.414,2001-07-20,8.535,16286,139001.01
19404,HI,Dilwale Dulhania Le Jayenge,54.938,1995-10-20,8.531,4422,37724.082
155,EN,The Dark Knight,158.205,2008-07-16,8.516,32493,276710.388
496243,KO,Parasite,101.044,2019-05-30,8.507,17981,152964.367
497,EN,The Green Mile,98.552,1999-12-10,8.507,17179,146141.753
372058,JA,Your Name.,110.376,2016-08-26,8.488,11228,95303.264
680,EN,Pulp Fiction,128.548,1994-09-10,8.487,27599,234232.713
122,EN,The Lord of the Rings: The Return of the King,182.54,2003-12-17,8.48,23874,202451.52000000002
13,EN,Forrest Gump,130.456,1994-06-23,8.474,27120,229814.88
769,EN,GoodFellas,106.548,1990-09-12,8.463,12681,107319.30299999999
667257,ES,Impossible Things,27.412,2021-06-17,8.462,381,3224.022
429,IT,"The Good, the Bad and the Ugly",100.476,1966-12-22,8.5,8472,72012.0
346,JA,Seven Samurai,58.924,1954-04-26,8.46,3598,30439.08
12477,JA,Grave of the Fireflies,0.07,1988-04-16,8.456,5386,45544.015999999996
637,IT,Life Is Beautiful,50.176,1997-12-20,8.45,12898,108988.09999999999
11216,IT,Cinema Paradiso,37.683,1988-11-17,8.448,4301,36334.848
157336,EN,Interstellar,176.953,2014-11-05,8.44,35102,296260.88
550,EN,Fight Club,86.768,1999-10-15,8.438,29045,245081.71000000002
1084736,FR,The Count of Monte-Cristo,89.598,2024-06-28,8.438,508,4286.504
539,EN,Psycho,52.72,1960-06-22,8.43,9905,83499.15
598,PT,City of God,72.66,2002-08-30,8.426,7253,61113.778
510,EN,One Flew Over the Cuckoo's Nest,54.094,1975-11-19,8.418,10287,86595.96599999999
696374,EN,Gabriel's Inferno,16.371,2020-05-29,8.416,2406,20248.896
311,EN,Once Upon a Time in America,48.974,1984-05-23,8.4,5290,44436.0
120,EN,The Lord of the Rings: The Fellowship of the Ring,195.321,2001-12-18,8.414,24803,208692.44199999998
372754,JA,Dou kyu sei – Classmates,19.182,2016-02-20,8.4,374,3141.6
4935,JA,Howl's Moving Castle,82.972,2004-09-09,8.403,9718,81660.354
324857,EN,Spider-Man: Into the Spider-Verse,98.813,2018-12-06,8.401,15374,129156.974
704264,EN,Primal: Tales of Savagery,15.943,2019-11-21,8.4,310,2604.0
40096,PT,A Dog's Will,15.576,2000-09-15,8.4,1080,9072.0
14537,JA,Harakiri,47.354,1962-09-15,8.397,969,8136.693
121,EN,The Lord of the Rings: The Two Towers,142.239,2002-12-18,8.397,21553,180980.541
724089,EN,Gabriel's Inferno: Part II,9.006,2020-07-31,8.4,1509,12675.6
255709,KO,Hope,23.811,2013-10-02,8.394,719,6035.286
1160164,EN,TAYLOR SWIFT | THE ERAS TOUR,47.327,2023-10-13,8.4,377,3166.8
1891,EN,The Empire Strikes Back,43.34,1980-05-20,8.392,16753,140591.17599999998
761053,EN,Gabriel's Inferno: Part III,26.675,2020-11-19,8.4,1049,8811.6
244786,EN,Whiplash,88.738,2014-10-10,8.382,14889,124799.598
423,EN,The Pianist,45.845,2002-09-17,8.382,9041,75781.662
378064,JA,A Silent Voice: The Movie,48.655,2016-09-17,8.38,3895,32640.100000000002
1058694,ES,Radical,39.896,2023-10-19,8.379,397,3326.4629999999997
620249,ZH,The Legend of Hei,20.877,2019-08-27,8.379,354,2966.1659999999997
807,EN,Se7en,76.161,1995-09-22,8.375,20735,173655.625
27205,EN,Inception,93.386,2010-07-15,8.368,36235,303214.48000000004
568332,EN,Taylor Swift: Reputation Stadium Tour,18.879,2018-12-31,8.357,375,3133.8749999999995
569094,EN,Spider-Man: Across the Spider-Verse,197.045,2023-05-31,8.356,6726,56202.456
567,EN,Rear Window,35.19,1954-08-01,8.353,6374,53242.022
274,EN,The Silence of the Lambs,20.395,1991-02-14,8.349,16054,134034.846
73,EN,American History X,41.74,1998-07-01,8.345,11411,95224.79500000001
128,JA,Princess Mononoke,130.265,1997-07-12,8.335,7871,65604.785
15804,ZH,A Brighter Summer Day,27.151,1991-07-27,8.3,302,2506.6000000000004
1139087,EN,Once Upon a Studio,34.451,2023-09-24,8.325,345,2872.1249999999995
820067,JA,The Quintessential Quintuplets Movie,31.379,2022-05-20,8.325,377,3138.5249999999996
12493,JA,High and Low,30.939,1963-03-01,8.322,873,7265.105999999999
92321,JA,Hotarubi no Mori e,0.024,2011-09-17,8.3,1089,9038.7
105,EN,Back to the Future,90.35,1985-07-03,8.318,19662,163548.516
207,EN,Dead Poets Society,54.024,1989-06-02,8.312,11054,91880.848
10494,JA,Perfect Blue,48.339,1998-02-28,8.31,2574,21389.940000000002
644479,ES,Dedicated to my ex,10.266,2019-11-01,8.309,500,4154.5
914,EN,The Great Dictator,36.307,1940-10-15,8.309,3307,27477.862999999998
599,EN,Sunset Boulevard,23.245,1950-08-10,8.3,2523,20940.9
101,EN,Léon: The Professional,75.26,1994-09-14,8.308,14580,121130.64
18491,JA,Neon Genesis Evangelion: The End of Evangelion,38.908,1997-07-19,8.306,1554,12907.524
3782,JA,Ikiru,26.836,1952-10-09,8.301,1108,9197.508
3082,EN,Modern Times,21.739,1936-02-05,8.294,3633,30132.102000000003
335,IT,Once Upon a Time in the West,59.438,1968-12-21,8.286,4261,35306.646
901,EN,City Lights,16.614,1931-02-06,8.3,2122,17612.600000000002
77338,FR,The Intouchables,60.585,2011-11-02,8.3,17017,141241.1
29259,FR,Le Trou,18.05,1960-03-18,8.279,458,3791.782
28,EN,Apocalypse Now,63.889,1979-08-15,8.3,8092,67163.6
1585,EN,It's a Wonderful Life,56.522,1946-12-20,8.278,4218,34916.604
975,EN,Paths of Glory,28.427,1957-10-25,8.3,2844,23605.2
533514,JA,Violet Evergarden: The Movie,44.279,2020-09-18,8.3,399,3311.7000000000003
637920,TR,Miracle in Cell No. 7,41.143,2019-10-10,8.3,4356,36154.8
527641,EN,Five Feet Apart,47.057,2019-03-14,8.266,5527,45686.182
10376,IT,The Legend of 1900,30.556,1998-10-28,8.266,2220,18350.52
632632,JA,Given,18.83,2020-08-22,8.3,377,3129.1000000000004
283566,JA,Evangelion: 3.0+1.0 Thrice Upon a Time,38.35,2021-03-08,8.261,788,6509.668
995133,EN,"The Boy, the Mole, the Fox and the Horse",37.179,2022-12-25,8.3,525,4357.5
447362,EN,Life in a Year,45.43,2020-11-27,8.3,1843,15296.900000000001
25237,RU,Come and See,26.174,1985-10-17,8.26,1442,11910.92
630566,EN,Clouds,16.147,2020-10-09,8.258,996,8224.967999999999
8587,EN,The Lion King,119.205,1994-06-24,8.257,18042,148972.794
